,obsHistID,sessionID,propID,fieldID,fieldRA,fieldDec,filter,expDate,expMJD,night,visitTime,visitExpTime,finRank,FWHMeff,FWHMgeom,transparency,airmass,vSkyBright,filtSkyBrightness,rotSkyPos,rotTelPos,lst,altitude,azimuth,dist2Moon,solarElong,moonRA,moonDec,moonAlt,moonAZ,moonPhase,sunAlt,sunAz,phaseAngle,rScatter,mieScatter,moonIllum,moonBright,darkBright,rawSeeing,wind,humidity,slewDist,slewTime,fiveSigmaDepth,ditheredRA,ditheredDec,count
866866,866752,1016,54,1000,5.718053,-0.674641,u,109747011,60850.220035,1270,34.0,30.0,4.440245,1.044009,0.910175,0.125,1.284561,21.37518,22.03518,1.554622,-0.051758,4.90581,0.892238,2.01395,2.090003,131.715646,1.30712,0.484683,-1.169599,1.564173,2.126762,-1.400291,2.313663,163.228819,299234.493847,1433.149041,4.3e-05,0.0,96.025643,0.593402,0.0,0.0,0.109817,5.591555,23.129058,5.740053656578915,-0.658109,247
870765,870651,1016,54,1000,5.718053,-0.674641,z,110606204,60860.164401,1280,34.0,30.0,4.55229,1.073987,0.934817,0.0,1.461604,20.241845,18.568482,1.626718,-0.078516,4.727322,0.753482,2.031321,1.863256,139.418662,3.550405,-0.225261,0.450776,4.707347,63.329566,-1.334607,4.187525,74.538469,261874.109434,3027.482952,0.004359,167.215992,105.508377,0.717925,0.0,0.0,0.048198,4.521965,22.485377,5.732720104385944,-0.654803,248
870790,870676,1016,54,1000,5.718053,-0.674641,z,110607325,60860.177384,1280,34.0,30.0,5.632208,1.033823,0.901803,0.0,1.371644,20.322789,18.650373,1.593054,-0.068246,4.809123,0.816939,2.021189,1.86119,139.428452,3.552503,-0.226191,0.382381,4.667051,63.448082,-1.391129,3.944891,74.397512,261613.492685,3048.191932,0.004378,152.339431,100.792147,0.717925,0.0,0.0,0.054771,4.766294,22.573089,5.732720104385944,-0.654803,249
872859,872744,1016,54,1000,5.718053,-0.674641,z,110779523,60862.170415,1282,34.0,30.0,4.537697,0.790542,0.701826,0.0,1.381256,19.772438,18.237116,2.794889,1.128386,4.799619,0.809557,2.022192,1.473662,140.896063,3.956686,-0.3842,0.806133,4.693415,80.246222,-1.358814,4.082378,52.776595,244986.633313,10942.956555,0.007993,318.925007,101.305989,0.457627,0.0,0.0,0.048077,4.64755,22.661083,5.742498173976573,-0.654803,250
872889,872774,1016,54,1000,5.718053,-0.674641,z,110780703,60862.184063,1282,34.0,30.0,4.510291,0.762897,0.679101,0.0,1.301694,19.833651,18.300288,2.79874,1.180242,4.885606,0.876075,2.015013,1.471791,140.906144,3.958803,-0.384762,0.733945,4.65317,80.349363,-1.411034,3.760138,52.628021,245070.148812,11010.680826,0.008024,300.214853,96.979282,0.457627,0.0,0.0,0.176496,12.595306,22.736367,5.742498173976573,-0.654803,251
873966,873851,1016,54,1000,5.718053,-0.674641,y,110867738,60863.191422,1283,34.0,30.0,4.524017,0.691504,0.620416,0.0,1.251089,19.515225,17.3,1.301425,-0.27881,4.949174,0.926139,2.012708,1.274679,141.635843,4.18162,-0.442678,0.890678,4.644707,87.38239,-1.428179,3.500171,41.612968,262339.299652,21093.927532,0.010627,438.426949,94.139725,0.401715,0.0,0.0,0.054995,4.77443,21.86211,5.696052343421085,-0.6514960000000001,252
874001,873886,1016,54,1000,5.718053,-0.674641,y,110869093,60863.207101,1283,34.0,30.0,4.526961,0.669664,0.602464,0.0,1.185928,19.571358,17.3,1.263119,-0.252856,5.047957,1.003251,2.015779,1.27261,141.647298,4.184163,-0.443012,0.80797,4.604034,87.48208,-1.430822,2.84297,41.440659,262604.63085,21238.328872,0.010673,415.350943,90.381135,0.401715,0.0,0.0,0.055859,4.743929,21.908684,5.696052343421085,-0.6514960000000001,253
874969,874854,1016,54,1000,5.718053,-0.674641,y,110952005,60864.166725,1284,34.0,30.0,4.532027,0.892371,0.785529,0.0,1.369986,19.00579,17.3,0.528586,-1.131803,4.810776,0.81823,2.021019,1.080779,142.333675,4.413088,-0.480493,1.219983,4.748758,92.931104,-1.33892,4.13496,30.837779,293575.309349,39985.028291,0.013862,750.727189,100.703256,0.59437,0.0,0.0,0.048198,4.694662,21.563832,5.700941378216399,-0.6514960000000001,254
881311,881196,1016,54,1000,5.718053,-0.674641,r,111749302,60873.394703,1293,34.0,30.0,4.528149,1.070388,0.931859,0.0,1.193778,20.372778,20.410362,3.409511,-1.348705,0.118766,0.993019,4.268357,1.133675,148.435005,0.256164,0.163394,0.867031,0.210392,56.594071,-0.478135,1.402393,82.421675,283886.782791,33583.788749,0.003412,150.900999,90.840072,0.761931,0.0,0.0,0.055859,4.7741,23.72906,5.698496860818743,-0.64819,255
881822,881707,1016,54,1000,5.718053,-0.674641,r,111901028,60875.150794,1295,34.0,30.0,4.526077,0.867486,0.765073,0.0,1.289537,21.372043,21.092043,1.596898,-0.013081,4.899637,0.887466,2.014234,1.540094,149.462899,0.675022,0.34002,-0.581973,1.492229,36.593997,-1.242701,4.260359,105.55243,243047.843703,8789.767734,0.001471,0.0,96.303438,0.526954,0.0,0.0,0.054995,4.789724,24.260874,5.70827493040937,-0.64819,256
